stop_id,route_short_name,,
175,8,,"[s175, 8],"
175,106,,"[s175, 106],"
175,20,,"[s175, 20],"
175,302,,"[s175, 302],"
175,443,,"[s175, 443],"
178,20,,"[s178, 20],"
555,8,,"[s555, 8],"
567,8,,"[s567, 8],"
587,8,,"[s587, 8],"
617,8,,"[s617, 8],"
617,18,,"[s617, 18],"
629,108,,"[s629, 108],"
629,54,,"[s629, 54],"
629,55,,"[s629, 55],"
631,56,,"[s631, 56],"
754,18,,"[s754, 18],"
756,18,,"[s756, 18],"
780,18,,"[s780, 18],"
786,8,,"[s786, 8],"
792,8,,"[s792, 8],"
800,8,,"[s800, 8],"
879,54,,"[s879, 54],"
879,55,,"[s879, 55],"
879,56,,"[s879, 56],"
888,54,,"[s888, 54],"
888,55,,"[s888, 55],"
888,56,,"[s888, 56],"
897,54,,"[s897, 54],"
897,55,,"[s897, 55],"
897,56,,"[s897, 56],"
905,54,,"[s905, 54],"
905,55,,"[s905, 55],"
905,56,,"[s905, 56],"
938,427,,"[s938, 427],"
938,54,,"[s938, 54],"
938,55,,"[s938, 55],"
945,54,,"[s945, 54],"
945,55,,"[s945, 55],"
949,54,,"[s949, 54],"
949,55,,"[s949, 55],"
977,26,,"[s977, 26],"
977,62,,"[s977, 62],"
978,26,,"[s978, 26],"
1007,426,,"[s1007, 426],"
1007,62,,"[s1007, 62],"
1047,303,,"[s1047, 303],"
1047,305,,"[s1047, 305],"
1067,8,,"[s1067, 8],"
1067,102,,"[s1067, 102],"
1067,103,,"[s1067, 103],"
1067,1792,,"[s1067, 1792],"
1067,436N,,"[s1067, 436N],"
1067,436S,,"[s1067, 436S],"
1067,436S,,"[s1067, 436S],"
1212,103,,"[s1212, 103],"
1212,1792,,"[s1212, 1792],"
1212,34,,"[s1212, 34],"
1212,45,,"[s1212, 45],"
1225,34,,"[s1225, 34],"
1244,103,,"[s1244, 103],"
1259,103,,"[s1259, 103],"
1259,1792,,"[s1259, 1792],"
1260,1792,,"[s1260, 1792],"
1280,434,,"[s1280, 434],"
1283,20,,"[s1283, 20],"
1322,1,,"[s1322, 1],"
1322,436N,,"[s1322, 436N],"
1325,436N,,"[s1325, 436N],"
1326,20,,"[s1326, 20],"
1327,436N,,"[s1327, 436N],"
1338,103,,"[s1338, 103],"
1408,46W,,"[s1408, 46W],"
1421,45,,"[s1421, 45],"
1423,45,,"[s1423, 45],"
1436,45,,"[s1436, 45],"
1570,46E,,"[s1570, 46E],"
1658,46E,,"[s1658, 46E],"
1671,34,,"[s1671, 34],"
1688,34,,"[s1688, 34],"
1707,8,,"[s1707, 8],"
1731,106,,"[s1731, 106],"
1753,405,,"[s1753, 405],"
1778,105,,"[s1778, 105],"
1780,105,,"[s1780, 105],"
1786,48,,"[s1786, 48],"
1786,49,,"[s1786, 49],"
1788,48,,"[s1788, 48],"
1788,49,,"[s1788, 49],"
1789,301,,"[s1789, 301],"
1795,105,,"[s1795, 105],"
1945,44,,"[s1945, 44],"
2008,125,,"[s2008, 125],"
